# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
آرگنائیزروں	ˈaːrɡanˌaːizrõː
آرگنائیزیشن	ˈaːrɡanˌaːizˌeːʃan
آرہ	ˈaːrˌa
آرہا	ˈaːrhˌaː
آرہی	ˈaːrhˌiː
آرہے	ˈaːrhˌeː
آری	ˈaːri
آریئر	ˌaːriˈar
آریا	ˈaːrjaː
آریاؤ	ˈaːrjaːˌoː
آریاؤں	ˈaːrjaːˌoːn
آریائی	ˈaːrjaːˌiː
آریاوی	ˈaːrjaːʋˌiː
آریاں	ˈaːrjãː
آریز	aːrˈiːz
آریلہ	aːrˈiːlˌa
آریوں	ˈaːriˌõː
آریں	ˈaːrẽː
آریہ	aːrˈiːa
آرے	ˈaːreː
آز	ˈaːz
آزاد	aːzˈaːd
آزادانہ	ˌaːzaːdˈaːnˌa
آزادنامہ	ˌaːzaːdnˈaːmˌa
آزادوں	aːzˈaːdõː
آزادکشمیر	ˌaːzaːdˌəkəʃmˈiːr
آزادگان	ˌaːzaːdɡˈaːn
آزادگی	aːzˈaːdɡˌiː
آزادگیاں	ˌaːzaːdˈʌɡjãː
آزادہ	aːzˈaːda
آزادی	aːzˈaːdi
آزادیاں	aːzˈaːdjãː
آزادیوں	aːzˈaːdiˌõː
آزار	aːzˈaːr
آزاردہ	aːzˈaːrdˌa
آزاروں	aːzˈaːrõː
آزاری	aːzˈaːri
آزاریاں	aːzˈaːrjãː
آزاریوں	aːzˈaːriˌõː
آزاریں	aːzˈaːrẽː
آزالہ	aːzˈaːlˌa
آزبن	ˈaːzəbˌən
آزبک	ˈaːzəbˌək
آزر	ˈaːzər
آزربائیجان	ˌaːzərbaːiɟˈaːn
آزردگان	ˌaːzʊrdɡˈaːn
آزردگاں	aːzˈʊrdɡãː
آزردگی	aːzˈʊrdɡi
آزردگیاں	aːzˈʊrdɡjãː
آزردگیوں	aːzˈʊrdɡiˌõː
آزردہ	aːzˈʊrda
آزرم	ˈaːzərˌəm
آزرمیں	ˈaːzərmẽː
آزری	ˈaːzrˌiː
آزف	ˈaːzəf
آزفہ	ˈaːzəfa
آزلہ	ˈaːzəla
آزما	ˈaːzmˌaː
آزماؤ	ˌaːzmˈaːoː
آزماؤں	ˌaːzmaːˈoːn
آزمائش	ˌaːzmˈaɪʃ
آزمائشو	ˌaːzmˈaɪʃoː
آزمائشوں	ˌaːzmˈaɪʃõː
آزمائشی	ˌaːzmˈaɪʃi
آزمائشیں	ˌaːzmˈaɪʃẽː
آزمائی	ˌaːzmˈaːi
آزمائیش	ˌaːzmaːˈiːʃ
آزمائیو	ˌaːzmaːˈeːoː
آزمائیں	ˌaːzmˈaːẽː
آزمائیے	ˌaːzmˈaːjeː
آزمائے	ˌaːzmˈaːeː
آزماتا	ˌaːzmˈaːtaː
آزماتی	ˌaːzmˈaːti
آزماتیں	ˌaːzmˈaːtẽː
آزماتے	ˌaːzmˈaːteː
آزمانا	ˌaːzmˈaːnaː
آزمانی	ˌaːzmˈaːni
آزمانے	ˌaːzmˈaːneː
آزماونا	ˌaːzmaːˈoːnaː
آزمایا	ˌaːzmˈaːjaː
آزماے	ˌaːzmˈaːeː
آزمند	ˌaːzəmˈʌnd
آزمودگان	ˌaːzmˌoːdɡˈaːn
آزمودہ	ˈaːzmuːdˌa
آزمہ	ˈaːzəma
آس	ˈaːs
آسا	ˈaːsaː
آسائش	aːsˈaɪʃ
آسائشوں	aːsˈaɪʃõː
آسائشی	aːsˈaɪʃi
آسائشیں	aːsˈaɪʃẽː
آساد	aːsˈaːd
آسام	aːsˈaːm
آسامی	aːsˈaːmi
آسامیاں	aːsˈaːmjãː
آسامیوں	aːsˈaːmiˌõː
آسان	aːsˈaːn
آسانگی	aːsˈaːnɡˌiː
آسانگیاں	ˌaːsaːnˈʌɡjãː
آسانی	aːsˈaːni
آسانیاں	aːsˈaːnjãː
آسانیت	ˌaːsaːniˈat
آسانیتیں	ˌaːsaːniˈatẽː
آسانیوں	aːsˈaːniˌõː
آساں	ˈaːsãː
آستا	ˈaːstˌaː
آستائی	ˌaːstˈaːi
آستائیاں	ˌaːstˈaːjãː
آستائیوں	ˌaːstˈaːiˌõː
آستان	ˌaːstˈaːn
آستانوں	ˌaːstˈaːnõː
آستانہ	ˌaːstˈaːnˌa
آستانے	ˌaːstˈaːneː
آستاوا	ˌaːstˈaːʋaː
آستاوے	ˌaːstˈaːʋeː
آستاں	ˈaːstˌãː
آستر	ˈaːsətˌər
آسترے	ˈaːsətreː
آستک	ˈaːsətˌək
آستکوں	ˈaːsətkõː
آستکیں	ˈaːsətkẽː
آستھم	ˈaːsətʰˌəm
آستین	ˌaːstˈiːn
آستینوں	ˌaːstˈiːnõː
آستینیں	ˌaːstˈiːnẽː
آستیں	ˈaːstˌẽː
آستے	ˈaːstˌeː
آسر	ˈaːsər
آسرا	ˈaːsrˌaː
آسرم	ˈaːsərˌəm
آسرو	ˈaːsrˌoː
آسروؤ	ˌaːsrˈuːoː
آسروؤں	ˌaːsruːˈoːn
آسروں	ˈaːsrˌõː
آسرہ	ˈaːsəra
آسری	ˈaːsrˌiː
آسرے	ˈaːsrˌeː
آسغہ	ˈaːsəɣa
آسمان	ˌaːsmˈaːn
آسمانوں	ˌaːsmˈaːnõː
آسمانی	ˌaːsmˈaːni
آسماں	ˈaːsmˌãː
آسمہ	ˈaːsəma
آسن	ˈaːsən
آسنوں	ˈaːsnˌõː
آسنکا	ˈaːsənkaː
آسنکاؤ	ˌaːsənkˈaːoː
آسنکاؤں	ˌaːsənkaːˈoːn
آسنکائیں	ˌaːsənkˈaːẽː
آسنی	ˈaːsnˌiː
آسنیاں	aːsˈʌnjãː
آسنیں	ˈaːsnˌẽː
آسوج	aːsˈoːɟ
آسود	ˈaːsuːd
آسودا	ˈaːsuːdˌaː
آسودگان	ˈaːsuːdɡˌaːn
آسودگی	ˈaːsuːdɡˌiː
آسودگیاں	ˈaːsuːdɡjˌãː
آسودگیوں	ˈaːsuːdɡˌiõː
آسودہ	ˈaːsuːdˌa
آسودے	ˈaːsuːdˌeː
آسوں	ˈaːsõː
آسٹروٹرف	ˈaːsʈərˌoːʈərˌəf
آسٹرک	ˈaːsʈərˌək
آسٹرکوں	ˈaːsʈərkõː
آسٹریا	ˈaːsʈərjˌaː
آسٹریائی	ˈaːsʈərjˌaːi
آسٹریائیوں	ˈaːsʈərjˌaːiˌõː
آسٹریلوی	ˌaːsʈərˈiːlʋi
آسٹریلیا	ˈaːsʈreːlˌiːaː
آسٹریلین	ˈaːsʈərˌiːlin
آسٹریلینوں	ˈaːsʈərˌiːlinˌõː
آسٹریکین	ˈaːsʈərˌiːkin
آسٹونیا	aːsʈˈoːnjaː
آسڑک	ˈaːsər.ˌək
آسکا	ˈaːskˌaː
آسکت	ˈaːsəkˌət
آسکتا	ˈaːsəktaː
آسکتانا	ˌaːsəktˈaːnaː
آسکتی	ˈaːsəkti
آسکتیاں	ˌaːsəkˈʌtjãː
آسکتے	ˈaːsəkteː
آسکر	ˈaːsəkˌər
آسکی	ˈaːskˌiː
آسکیں	ˈaːskˌẽː
آسکے	ˈaːskˌeː
آسہ	ˈaːsˌa
آسہہ	ˈaːsəhˌəa
آسی	ˈaːsi
آسیا	ˈaːsjaː
آسیاؤں	ˈaːsjaːˌoːn
آسیائے	ˈaːsjaːˌeː
آسیاب	ˈaːsjaːb
آسیانوں	ˈaːsjaːnˌõː
آسیانہ	ˈaːsjaːna
آسیانے	ˈaːsjaːnˌeː
آسیب	aːsˈeːb
آسیبوں	aːsˈeːbõː
آسیبی	aːsˈeːbi
آسیبیا	aːsˈeːbjaː
آسیبیوں	aːsˈeːbiˌõː
آسیبیے	aːsˈeːbjeː
آسیت	ˌaːsiˈat
آسیتی	ˌaːsiˈati
آسیتیں	ˌaːsiˈatẽː
آسیر	aːsˈiːr
آسیرات	ˌaːsirˈaːt
آسیری	aːsˈiːri
آسیریات	ˌaːsiriˈaːt
آسیریں	aːsˈiːrẽː
آسیموں	aːsˈiːmõː
آسیمہ	aːsˈiːmˌa
آسیو	aːsˈeːoː
آسیوں	ˈaːsiˌõː
آسیں	ˈaːsẽː
آسیہ	aːsˈiːa
آسے	ˈaːseː
آش	ˈaːʃ
آشا	ˈaːʃaː
آشاؤ	aːʃˈaːoː
آشاؤں	ˌaːʃaːˈoːn
آشائیں	aːʃˈaːẽː
آشام	aːʃˈaːm
آشاموں	aːʃˈaːmõː
آشامی	aːʃˈaːmi
آشاہین	ˌaːʃaːhˈiːn
آشب	ˈaːʃəb
آشبہ	ˈaːʃəba
آشتاوہ	ˈaːʃtaːʋa
آشتی	ˈaːʃtˌiː
آشتیاں	ˈaːʃtjãː
آشتیوں	ˈaːʃtiˌõː
آشرا	ˈaːʃrˌaː
آشرباد	ˌaːʃərbˈaːd
آشرم	ˈaːʃram
آشرموں	ˈaːʃərmõː
آشرہ	ˈaːʃəra
آشری	ˈaːʃrˌiː
آشریاں	aːʃˈʌrjãː
آشریوں	ˈaːʃrˌiõː
آشرے	ˈaːʃrˌeː
آشفتگان	ˌaːʃʊftɡˈaːn
آشفتگاں	aːʃˈʊftɡãː
آشفتگی	aːʃˈʊftɡi
آشفتگیاں	aːʃˈʊftɡjãː
آشفتگیوں	aːʃˈʊftɡiˌõː
آشفتہ	aːʃˈʊfta
آشمال	ˌaːʃmˈaːl
آشمالی	ˌaːʃmˈaːli
آشنا	ˈaːʃnˌaː
آشناؤں	ˌaːʃnaːˈoːn
آشنائی	ˌaːʃnˈaːi
آشنائیاں	ˌaːʃnˈaːjãː
آشنائیوں	ˌaːʃnˈaːiˌõː
آشنائیں	ˌaːʃnˈaːẽː
آشنان	ˌaːʃnˈaːn
آشناو	ˌaːʃnˈaːoː
آشناور	ˌaːʃnˈaːʋər
آشوب	aːʃˈoːb
آشوبوں	aːʃˈoːbõː
آشوبی	aːʃˈoːbi
آشوبیت	ˌaːʃoːbiˈat
آشوبیتوں	ˌaːʃoːbˈiːtõː
آشوبیتیں	ˌaːʃoːbiˈatẽː
آشوبیوں	aːʃˈoːbiˌõː
آشور	aːʃˈoːr
آشوری	aːʃˈoːri
آشوریات	ˌaːʃoːriˈaːt
آشون	aːʃˈoːn
آشچرج	ˈaːʃəcˌərəɟ
آشکار	ˌaːʃkˈaːr
آشکارا	ˌaːʃkˈaːraː
آشکارائی	ˌaːʃkaːrˈaːi
آشکارائیاں	ˌaːʃkaːrˈaːjãː
آشکاروں	ˌaːʃkˈaːrõː
آشکارہ	ˌaːʃkˈaːrˌa
آشکاری	ˌaːʃkˈaːri
آشکاریاں	ˌaːʃkˈaːrjãː
آشکاریوں	ˌaːʃkˈaːriˌõː
آشیا	ˈaːʃjaː
آشیائی	ˈaːʃjaːˌiː
