# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
نخامیہ	nˌəxaːmˈiːa
نخبہ	nˈʌxəba
نخت	nˈʌxt
نخر	nˈʌxər
نخرا	nˈʌxrˌaː
نخراپن	nˌəxrˈaːpən
نخرباش	nˌəxərbˈaːʃ
نخرمایہ	nˌəxərmˈaːja
نخروں	nˈʌxrˌõː
نخرپا	nˈʌxərpaː
نخرچا	nəxˈʌrcaː
نخرچی	nəxˈʌrci
نخرہ	nˈʌxəra
نخرہائی	nˌəxərhˈaːi
نخرہایا	nˌəxərhˈaːjaː
نخریا	nəxˈʌrjaː
نخریل	nˌəxrˈiːl
نخریلا	nˌəxrˈiːlaː
نخریلی	nˌəxrˈiːli
نخرے	nˈʌxrˌeː
نخز	nˈʌxəz
نخزمایہ	nˌəxəzmˈaːja
نخزینہ	nˌəxzˈiːnˌa
نخس	nˈʌxəs
نخست	nˈʌxəst
نخستنیہ	nˌəxəsˌətnˈiːa
نخستگی	nˈʌxəsˌətɡˌiː
نخستین	nˌəxəstˈiːn
نخستینیہ	nˌəxəstinˈiːa
نخسیہ	nˌəxsˈiːa
نخشارہ	nˌəxʃˈaːrˌa
نخشان	nˌəxʃˈaːn
نخشب	nˈʌxəʃˌəb
نخشبی	nˈʌxəʃbi
نخصمی	nˈʌxəʂmi
نخل	nˈaxl
نخلستان	nˈaxlɪstˌaːn
نخلستانی	nˌaxlɪstˈaːni
نخلہ	nˈaxla
نخلیہ	nˈaxliˌa
نخواستہ	nəxʋˈaːstˌa
نخوت	nˈaxʋat
نخود	nəxˈoːd
نخودی	nəxˈoːdi
نخچیر	nˌəxcˈiːr
نخچیری	nˌəxcˈiːri
نخیر	nəxˈiːr
نخیسہ	nəxˈiːsˌa
نخیل	nəxˈiːl
نخیلی	nəxˈiːli
نخیں	nˈʌxẽː
نخیہ	nəxˈiːa
ند	nˈʌd
ندا	nˈɪdaː
نداؤں	nˌədaːˈoːn
ندائی	nɪdˈaːi
ندائیں	nɪdˈaːẽː
ندائیہ	nˌɪdaːˈiːa
نداحل	nədˈaːhɪl
ندارد	nˌadaːrˈad
نداف	nədˈaːf
ندافی	nədˈaːfi
ندال	nədˈaːl
ندامت	nədˈaːmət
ندامتیں	nədˈaːmtˌẽː
ندان	nədˈaːn
ندانا	nɪdˈaːnaː
نداگھ	nədˈaːɡʰ
ندب	nˈʌdəb
ندبہ	nˈʌdəba
ندبی	nˈʌdbˌiː
نددھیاسن	nˌəddʰjˈaːsən
ندرا	nˈʌdrˌaː
ندرالتا	nˌədrˈaːltˌaː
ندرالو	nˌədrˈaːloː
ندراکر	nˌədrˈaːkər
ندراگت	nˌədrˈaːɡət
ندرایمان	nˌədrˌaːjamˈaːn
ندرت	nʊdrˈat
ندرسن	nˈʌdərˌəsən
ندرشن	nˈʌdərˌəʃən
ندرنا	nˈʌdərnaː
ندروھ	nˌədrˈoːhh
ندری	nˈʌdrˌiː
ندف	nˈʌdəf
ندفات	nˌədəfˈaːt
ندم	nˈʌdəm
ندما	nˈʌdmˌaː
ندمان	nˌədmˈaːn
ندو	nˈʌdoː
ندوش	nədˈoːʃ
ندولا	nədˈoːlaː
ندولتا	nədˈoːltˌaː
ندوہ	nədˈoːa
ندوۃ	nədˈoːt
ندوی	nˈʌdʋi
ندویت	nˌədoːiˈat
ندھ	nˈʌdʰ
ندھائی	nədʰˈaːi
ندھان	nədʰˈaːn
ندھن	nˈʌdʰən
ندھنتا	nˈʌdʰəntaː
ندھنی	nˈʌdʰnˌiː
ندھون	nədʰˈoːn
ندھڑ	nˈʌdʰər.
ندھڑک	nˈʌdʰər.ˌək
ندھڑکا	nˈʌdʰər.kaː
ندی	nˈʌdi
ندیا	nədˈiːaː
ندیاں	nˈʌdjãː
ندیج	nədˈiːɟ
ندید	nədˈiːd
ندیدا	nədˈiːdaː
ندیداپن	nˌədidˈaːpən
ندیدرا	nədˈiːdrˌaː
ندیدہ	nədˈiːda
ندیدی	nədˈiːdi
ندیدیت	nˌədidiˈat
ندیدے	nədˈiːdeː
ندیر	nədˈiːr
ندیش	nədˈiːʃ
ندیشی	nədˈiːʃi
ندیم	nədˈiːm
ندیمانہ	nˌədimˈaːnˌa
ندیماں	nədˈiːmãː
ندیمہ	nədˈiːmˌa
ندیمی	nədˈiːmi
ندین	nədˈiːn
ندیہ	nədˈiːa
نذا	nˈʌzaː
نذارت	nəzˈaːrət
نذاف	nəzˈaːf
نذبہ	nˈʌzəba
نذر	nˈazr
نذراحل	nˌəzrˈaːhɪl
نذرانہ	nˌəzrˈaːnˌa
نذرانے	nˌəzrˈaːneː
نذرتا	nˈazrtaː
نذرغیراللہ	nˌəzərɣirˈaːləla
نذروں	nˈʌzrˌõː
نذریں	nˈʌzrˌẽː
نذورات	nˌəzoːrˈaːt
نذیر	nəzˈiːr
نذیربیگم	nˌəzirbˈiːɡəm
نذیری	nəzˈiːri
نذیل	nəzˈiːl
نر	nˈʌr
نرآدر	nərˈaːdər
نرآدری	nərˈaːdrˌiː
نرآس	nərˈaːs
نرئی	nˈʌrˌiː
نرا	nˈʌraː
نرائن	nərˈaɪn
نرائی	nərˈaːi
نراج	nərˈaːɟ
نراجک	nərˈaːɟɪk
نراجی	nərˈaːɟi
نراجیت	nˌəraːɟiˈat
نراد	nərˈaːd
نرادھار	nˌəraːdʰˈaːr
نرادھاری	nˌəraːdʰˈaːri
نراس	nərˈaːs
نراسا	nərˈaːsaː
نراسی	nərˈaːsi
نراش	nərˈaːʃ
نراشا	nərˈaːʃaː
نراشی	nərˈaːʃi
نراعیہ	nˌəraːaːˈiːa
نرال	nərˈaːl
نرالا	nərˈaːlaː
نرالاین	nˌəraːlaːjˈan
نرالسی	nərˈaːlsˌiː
نرالسیہ	nˌəraːlsˈiːa
نرالوں	nərˈaːlõː
نرالی	nərˈaːli
نرالیاں	nərˈaːljãː
نرالے	nərˈaːleː
نرانا	nərˈaːnaː
نرانگست	nərˈaːnəɡˌəst
نراکار	nˌəraːkˈaːr
نرباد	nˌərbˈaːd
نرباسنا	nˌərbˈaːsnˌaː
نرباسنک	nˌərbˈaːsənˌək
نرباسنگ	nˌərbˈaːsɪnɡ
نربالک	nˌərbˈaːlɪk
نربان	nˌərbˈaːn
نربانا	nˌərbˈaːnaː
نرباہ	nˌərbˈaːh
نرباہنا	nˌərbˈaːhnaː
نربدا	nˈʌrəbdaː
نربدھ	nˈʌrəbˌədʰ
نربدھی	nˈʌrəbdʰi
نربذرہ	nˈʌrəbˌəzəra
نربس	nˈʌrəbˌəs
نربسی	nˈʌrəbsi
نربش	nˈʌrəbˌəʃ
نربل	nˈʌrəbˌəl
نربلا	nˈʌrəblaː
نربلائی	nˌərəblˈaːi
نربلتا	nˈʌrəbˌəltˌaː
نربلی	nˈʌrəbli
نربندھ	nˌərəbˈʌndʰ
نربنس	nˌərəbˈʌns
نربوجھ	nˌərbˈuːɟʰ
نربودھ	nˌərbˈuːdʰ
نربچار	nˌərəbcˈaːr
نربکار	nˌərəbkˈaːr
نربکارتا	nˌərəbkˈaːrtˌaː
نربگھن	nˈʌrəbˌəɡʰən
نربھئیے	nˈʌrəbʰjeː
نربھائی	nˌərbʰˈaːi
نربھان	nˌərbʰˈaːn
نربھاگ	nˌərbʰˈaːɡ
نربھاگی	nˌərbʰˈaːɡi
نربھر	nˈʌrəbʰˌər
نربھرانتی	nˌərəbʰrˈaːntˌiː
نربھنگ	nˈʌrəbʰˌənɡ
نربھو	nˈʌrbʰˌoː
نربھوجن	nˌərbʰˈoːɟən
نربھور	nˌərbʰˈoːr
نربھہ	nˈʌrəbʰa
نربھیتا	nˌərbʰˈiːtaː
نربھید	nˌərbʰˈiːd
نربھے	nˈʌrbʰˌeː
نربیج	nˌərbˈiːɟ
نربیدھ	nˌərbˈiːdʰ
نرت	nˈʌrət
نرتن	nˈʌrətˌən
نرتنا	nˈʌrətnaː
نرتک	nˈʌrətˌək
نرتکی	nˈʌrətki
نرتھ	nˈʌrətʰ
نرتہ	nˈʌrtˌa
نرتیقس	nˌərtˈiːqəs
نرتیہ	nˌərtˈiːa
نرجا	nˈʌrɟˌaː
نرجر	nˈʌrəɟˌər
نرجرا	nˈʌrəɟraː
نرجس	nˈʌrəɟˌəs
نرجسیہ	nˌərəɟsˈiːa
نرجل	nˈʌrəɟˌəl
نرجلا	nˈʌrəɟlaː
نرجن	nˈʌrəɟˌən
نرجوت	nˌərɟˈuːt
نرجھل	nˈʌrəɟʰˌəl
نرجیو	nˌərɟˈeːoː
نرخ	nˈɪrx
نرخرا	nˈʌrəxraː
نرخروں	nˈʌrəxrõː
نرخری	nˈʌrəxri
نرخرے	nˈʌrəxreː
نرخسی	nˈʌrəxsi
نرخلیہ	nˌərəxlˈiːa
نرخنہ	nˈʌrəxˌənˌa
نرخوں	nˈʌrxˌõː
نرخٹا	nˈʌrəxʈaː
نرخٹہ	nˈʌrəxˌəʈˌa
نرخی	nˈʌrxˌiː
نرخیت	nˌɪrxiˈat
نرد	nˈʌrd
نردئی	nˈʌrdəˌiː
نردر	nˈʌrdər
نردشمن	nˈʌrdəʃˌəmən
نردشٹ	nˈʌrdəʃˌəʈ
نردوت	nərdˈuːt
نردوش	nərdˈuːʃ
نردوشی	nərdˈuːʃi
نردک	nˈʌrdək
نردھاری	nərdʰˈaːri
نردھن	nˈʌrdʰən
نرزہ	nˈʌrəza
نرس	nˈars
نرسا	nˈʌrsˌaː
نرستی	nˈarsti
نرسری	nˈarsarˌiː
نرسریاں	narsˈarjãː
نرسریوں	nˈarsarˌiõː
نرسل	nˈʌrəsˌəl
نرسنسا	nˌərəsˈʌnsaː
نرسنگ	nˈarsɪnɡ
نرسنگا	nˈʌrəsˌənɡˌaː
نرسنگھ	nˈʌrəsˌənəɡʰ
نرسو	nˈʌrsˌoː
نرسوں	nˈʌrsˌõː
نرسی	nˈʌrsˌiː
نرسیں	nˈʌrsˌẽː
نرصنفی	nˈʌrəʂˌənfˌiː
نرغا	nˈʌrɣˌaː
نرغال	nˌərɣˈaːl
نرغہ	nˈʌrəɣa
نرغے	nˈʌrɣˌeː
نرفینہ	nˌərfˈiːnˌa
نرلاج	nˌərlˈaːɟ
نرلج	nˈʌrəlˌəɟ
نرلجا	nˈʌrəlɟaː
نرلوبھ	nˌərlˈuːbʰ
نرلوبھتا	nˌərlˈuːbʰtˌaː
نرلوبھی	nˌərlˈuːbʰi
نرلیپ	nˌərlˈiːp
نرم	nˈarm
نرما	nˈʌrmˌaː
نرماؤ	nˌərmˈaːoː
نرماؤں	nˌərmaːˈoːn
نرمائش	nˌərmˈaɪʃ
نرمائی	nˌərmˈaːi
نرمائیو	nˌərmaːˈeːoː
نرمائیں	nˌərmˈaːẽː
نرمائیے	nˌərmˈaːjeː
نرمائے	nˌərmˈaːeː
نرماتا	nˌərmˈaːtaː
نرماتی	nˌərmˈaːti
نرماتیں	nˌərmˈaːtẽː
نرماتے	nˌərmˈaːteː
نرمادگی	nˌərmˈaːdɡˌiː
نرمادہ	nˌərmˈaːda
نرمالیہ	nˌərmaːlˈiːa
نرمان	nˌərmˈaːn
نرمانا	nˌərmˈaːnaː
نرمانی	nˌərmˈaːni
نرمانے	nˌərmˈaːneː
نرماں	nˈʌrmˌãː
نرماہٹ	nˌərmˈaːhəʈ
نرمایا	nˌərmˈaːjaː
نرمبول	nˌərmbˈoːl
نرمت	nˈʌrəmˌət
نرمخروطیہ	nˌərəmˌəxroːtˈiːa
نرمل	nˈʌrəmˌəl
نرملا	nˈʌrəmlaː
نرملائی	nˌərəmlˈaːi
نرملہ	nˈʌrəmˌəlˌa
نرملی	nˈʌrəmli
نرمم	nˈʌrəmˌəm
نرممتا	nˈʌrəmˌəmtˌaː
نرمول	nˌərmˈuːl
نرموہ	nˌərmˈuːa
نرموہی	nˌərmˈuːhi
نرموہیا	nˌərmˈuːhjaː
نرمک	nˈʌrəmˌək
نرمگیں	nˈʌrəmɡẽː
نرمہ	nˈʌrəma
نرمی	nˈʌrmˌiː
نرمیت	nˈarmiˌat
نرمیدھ	nˌərmˈiːdʰ
نرمیش	nˌərmˈiːʃ
نرمیلی	nˌərmˈiːli
نرمین	nˌərmˈiːn
نرمینہ	nˌərmˈiːnˌa
نرنئے	nˈʌrəneː
نرناتھ	nˌərnˈaːtʰ
نرناری	nˌərnˈaːri
نرنتر	nˈʌrənˌətər
نرنجن	nərˈʌnɟən
نرندرہ	nərˈʌndəra
نرنرنجن	nˌərənərˈʌnɟən
نرنکار	nˌərənkˈaːr
نرنگ	nˈʌrənɡ
نرنے	nˈʌrnˌeː
نروئواد	nˌəroːʋˈaːd
نروئی	nərˈoːi
نروا	nˈʌrʋaː
نروار	nərʋˈaːr
نروارنا	nərʋˈaːrnˌaː
نروال	nərʋˈaːl
نروالا	nərʋˈaːlaː
نروالی	nərʋˈaːli
نروان	nərʋˈaːn
نروانا	nərʋˈaːnaː
نرواہ	nərʋˈaːh
نرودھ	nərˈoːdʰ
نرودھن	nərˈoːdʰən
نرودیا	nˌəroːdˈiːaː
نروس	nˈarʋas
نرول	nərˈoːl
نروٹھا	nərˈoːʈʰaː
نروپ	nərˈoːp
نروپن	nərˈoːpən
نروک	nərˈoːk
نروکار	nˌəroːkˈaːr
نروکت	nərˈoːkət
نروکھ	nərˈoːkʰ
نروگ	nərˈoːɡ
نروگا	nərˈoːɡaː
نروگت	nərˈoːɡət
نروگھن	nərˈoːɡʰən
نروگی	nərˈoːɡi
نروہ	nərˈoːa
نرویا	nərˈoːjaː
نرویر	nərʋˈiːr
نرویواد	nˌərʋeːʋˈaːd
نرٹھور	nərʈʰˈoːr
نرپال	nˌərpˈaːl
نرپاپ	nˌərpˈaːp
نرپت	nˈʌrəpˌət
نرپتی	nˈʌrəpti
نرپر	nˈʌrəpˌər
نرپرساں	nˈʌrəpˌərsˌãː
نرپریہ	nˌərəprˈiːa
نرپلڑا	nˈʌrəpˌəlr.ˌaː
نرپم	nˈʌrəpˌəm
نرپن	nˈʌrəpˌən
نرپھل	nˈʌrəpʰˌəl
نرک	nˈʌrək
نرکار	nˌərkˈaːr
نرکتا	nˈʌrəktaː
نرکس	nˈʌrəkˌəs
نرکل	nˈʌrəkˌəl
نرکوٹ	nˌərkˈoːʈ
نرکٹ	nˈʌrəkˌəʈ
نرکچور	nˌərəkcˈoːr
نرکھ	nˈʌrəkʰ
نرکھنا	nˈʌrəkʰnaː
نرکھی	nˈʌrkʰˌiː
نرکی	nˈʌrkˌiː
نرگ	nˈʌrəɡ
نرگاؤ	nˌərɡˈaːoː
نرگس	nˈarɡɪs
نرگستان	nˌərəɡɪstˈaːn
نرگسی	nˈarɡɪsˌiː
نرگسیت	nˈarɡɪsˌiːat
نرگن	nˈʌrəɡˌən
نرگنا	nˈʌrəɡnaː
نرگندھ	nˌərəɡˈʌndʰ
نرگنڈی	nˌərəɡˈʌnɖi
نرگنیا	nˌərəɡˈʌnjaː
نرگنییا	nˌərəɡnˈiːjaː
نرگھن	nˈʌrəɡʰˌən
نرہ	nˈʌrˌa
نرہائی	nˌərhˈaːi
نرہتکار	nˌərəhˌətkˈaːr
نرہنکار	nˌərəhˌənkˈaːr
نرہنکاری	nˌərəhˌənkˈaːri
نرہگل	nˈʌrəhˌəɡəl
نری	nˈʌri
نریتا	nərˈiːtaː
نریسا	nərˈiːsaː
نریش	nərˈiːʃ
نریل	nərˈiːl
نریم	nərˈiːm
نریمان	nˌərimˈaːn
نرین	nərˈiːn
نریندر	nərˈiːndər
نریندرا	nərˈiːndərˌaː
نرینہ	nərˈiːnˌa
نریٹ	nərˈiːʈ
نریٹی	nərˈiːʈi
نریکھنا	nərˈiːkʰnˌaː
نرے	nˈʌreː
نزار	nəzˈaːr
نزاری	nəzˈaːri
نزاریہ	nˌəzaːrˈiːa
نزاع	nˈʌzaː
نزاعات	nˌəzaːˈaːt
نزاعی	nˌəzaːˈaːi
نزاعیں	nˌəzaːˈaːẽː
نزاعیہ	nˌəzaːaːˈiːa
نزال	nəzˈaːl
نزاکت	nəzˈaːkət
نزاکتیں	nəzˈaːktˌẽː
نزاہت	nəzˈaːhət
نزاہتیں	nəzˈaːhtẽː
نزحہ	nˈʌzəhˌəa
نزد	nˈʌzəd
نزدہ	nˈʌzdˌa
نزدیک	nˌəzdˈiːk
نزدیکاں	nˌəzdˈiːkãː
نزدیکی	nˌəzdˈiːki
نزع	nˈʌzaː
نزعی	nəzˈai
نزف	nˈʌzəf
نزفہ	nˈʌzəfa
نزل	nˈʌzəl
نزلا	nˈʌzlˌaː
نزلاوی	nˌəzlˈaːʋi
نزلہ	nˈʌzəla
نزلہءبارد	nˌəzəlhbˈaːrd
نزلے	nˈʌzlˌeː
نزوع	nˈʌzuː
نزوعی	nəzʋˈaːi
نزوعیہ	nˌəzʋaːˈiːa
نزول	nəzˈoːl
نزولی	nəzˈoːli
نزک	nˈʌzək
نزکائی	nˌəzkˈaːi
نزھہ	nˈʌzəhˌəa
نزہت	nʊzhˈat
نزہون	nˌəzhˈuːn
نزہہ	nˈʌzəhˌəa
نزیر	nəzˈiːr
نزیف	nəzˈiːf
نزیفی	nəzˈiːfi
نزیفیت	nˌəzifiˈat
نزیل	nəzˈiːl
نزییت	nˌəziiˈat
نس	nˈʌs
نسئی	nˈʌsˌiː
نسا	nˈɪsaː
نساء	nˈʌsaː
نساءت	nəsˈaːt
نساؤ	nəsˈaːoː
نساؤرا	nˌəsaːˈoːraː
نساؤں	nˌəsaːˈoːn
نسائج	nəsˈaɪɟ
نسائخ	nəsˈaɪx
نسائم	nəsˈaɪm
نسائی	nəsˈaːi
نسائیات	nˌəsaːiˈaːt
نسائیت	nˌəsaːiˈat
نسائیں	nəsˈaːẽː
نسائیہ	nˌəsaːˈiːa
نسائیے	nəsˈaːjeː
نسائے	nəsˈaːeː
نساب	nəsˈaːb
نسابہ	nəsˈaːbˌa
نساتا	nɪsˈaːtaː
نساتی	nɪsˈaːti
نساتیں	nəsˈaːtẽː
نساتے	nɪsˈaːteː
نساج	nəsˈaːɟ
نساحیر	nˌəsaːhˈiːr
نساحیری	nˌəsaːhˈiːri
نساخ	nəsˈaːx
نسار	nəsˈaːr
نسارا	nəsˈaːraː
نسارائی	nˌəsaːrˈaːi
نسارائیاں	nˌəsaːrˈaːjãː
نسارتا	nəsˈaːrtˌaː
نسارتی	nəsˈaːrtˌiː
نسارتیں	nəsˈaːrtˌẽː
نسارتے	nəsˈaːrtˌeː
نسارنا	nəsˈaːrnˌaː
نسارنے	nəsˈaːrnˌeː
نساری	nəsˈaːri
نساریں	nəsˈaːrẽː
نساریے	nəsˈaːrjeː
نسارے	nəsˈaːreː
نساس	nəsˈaːs
نساسا	nəsˈaːsaː
نساساں	nəsˈaːsãː
نساسی	nəsˈaːsi
نسالہ	nəsˈaːlˌa
نسانا	nɪsˈaːnaː
نسانے	nɪsˈaːneː
نساور	nəsˈaːʋər
نساوری	nəsˈaːʋrˌiː
نساون	nəsˈaːʋən
نسایا	nɪsˈaːjaː
نسب	nˈʌsəb
نسبا	nˈʌsbˌaː
نسبت	nˌɪsbˈat
نسبتا	nˈʌsəbtaː
نسبتوں	nˈʌsəbtõː
نسبتی	nɪsbˈati
نسبتیں	nˈʌsəbtĩː
نسبنامہ	nˌəsəbnˈaːmˌa
نسبوں	nˈʌsbˌõː
نسبی	nˈʌsbˌiː
نسبیات	nˌəsbiˈaːt
نسبیت	nˌəsəbiˈat
نست	nˈʌst
نستا	nˈʌstˌaː
نستار	nˌəstˈaːr
نستارا	nˌəstˈaːraː
نستارنا	nˌəstˈaːrnˌaː
نستر	nˈʌsətˌər
نسترن	nˈʌsətˌərən
نسترنا	nˈʌsətˌərnˌaː
نسترنگ	nˈʌsətrɪnɡ
نسترنیں	nˈʌsətˌərnˌẽː
نسترون	nˌəsətrˈoːn
نستعلیق	nˌəstˈaːliq
نستعلیقی	nˌəstˈaːliqˌiː
نستعلیقیت	nˌəstˈaːliqiˌat
نستعین	nˌəstaˈiːn
نستوک	nˌəstˈuːk
نستک	nˈʌsətˌək
نسج	nˈʌsəɟ
نسخ	nˈʌsəx
نسخت	nˈʊsxt
نسخجات	nˌʊsxɟəˈaːt
نسخوں	nˈʊsxõː
نسخہ	nˈʊsxa
نسخی	nˈʊsxi
نسخے	nˈʊsxeː
نسدن	nˈʌsədˌən
نسر	nˈʌsər
نسرن	nˈʌsərˌən
نسرنا	nˈʌsərnaː
نسری	nˈʌsrˌiː
نسرین	nˌəsrˈiːn
نسرینیں	nˌəsrˈiːnẽː
نسریں	nˈʌsrˌẽː
نسطورا	nˌəstˈuːraː
نسطوری	nˌəstˈuːri
نسطوریت	nˌəstˌuːriˈat
نسطوریہ	nˌəstuːrˈiːa
نسعہ	nəsˈaːa
نسق	nˈʌsəq
نسقچی	nˈʌsəqci
نسل	nˈasl
نسلا	nˈʌslˌaː
نسلوں	nˈʌslˌõː
نسلی	nˈʌslˌiː
نسلیات	nˌəsliˈaːt
نسلیاتی	nˌəsljˈaːti
نسلیت	nˈasliˌat
نسلیں	nˈʌslˌẽː
نسم	nˈʌsəm
نسمات	nˌəsəmˈaːt
نسمہ	nˈʌsəma
نسنا	nˈʌsnˌaː
نسناس	nˌəsnˈaːs
نسناسی	nˌəsnˈaːsi
نسنٹھ	nˈʌsənˌəʈʰ
نسنک	nˈʌsənˌək
نسنکھ	nˈʌsənˌəkʰ
نسنکھا	nˈʌsənkʰaː
نسنکھی	nˈʌsənkʰi
نسنگ	nˈʌsənɡ
نسوات	nˌəsoːˈaːt
نسوار	nəsʋˈaːr
نسواری	nəsʋˈaːri
نسوان	nəsʋˈaːn
نسوانی	nəsʋˈaːni
نسوانیات	nˌəsʋaːniˈaːt
نسوانیت	nˌəsʋaːniˈat
نسواں	nˈʌsʋãː
نسوت	nəsˈoːt
نسور	nəsˈoːr
نسوڑھیا	nəsˈoːr.hjaː
نسوہ	nəsˈoːa
نسوۃ	nəsˈoːt
نسٹ	nˈʌsʈ
نسک	nˈʌsək
نسی	nˈʌsi
نسیا	nˈʌsjaː
نسیاتی	nəsjˈaːti
نسیان	nəsjˈaːn
نسیانی	nəsjˈaːni
نسیاں	nˈʌsjãː
نسیب	nəsˈiːb
نسیج	nəsˈiːɟ
نسیجہ	nəsˈiːɟˌa
نسیجی	nəsˈiːɟi
نسیجیات	nˌəsiɟiˈaːt
نسیجیاتی	nəsˈiːɟjaːtˌiː
نسیغ	nəsˈiːɣ
نسیق	nəsˈiːq
نسیل	nəsˈiːl
نسیلا	nəsˈiːlaː
نسیم	nəsˈiːm
نسیمہ	nəsˈiːmˌa
نسیمی	nəsˈiːmi
نسینی	nəsˈiːni
نسیٹ	nəsˈiːʈ
نسیٹھ	nəsˈiːʈʰ
نسیں	nˈʌsẽː
نسیہ	nəsˈiːa
نسیہا	nəsˈiːhaː
نش	nˈʌʃ
نشئی	nˈʌʃˌiː
نشا	nˈʌʃaː
نشائیت	nˌəʃaːiˈat
نشاب	nəʃˈaːb
نشابل	nəʃˈaːbəl
نشابہ	nəʃˈaːbˌa
نشات	nˌəʃˈaːt
نشاتین	nˌəʃaːtˈiːn
نشاتیں	nəʃˈaːtẽː
نشاج	nəʃˈaːɟ
نشاد	nəʃˈaːd
نشاستائی	nˌəʃaːstˈaːi
نشاستوں	nəʃˈaːstˌõː
نشاستہ	nəʃˈaːstˌa
نشاستی	nəʃˈaːstˌiː
نشاط	nɪʃˈaːt
نشاطی	nɪʃˈaːti
نشاطیہ	nˌɪʃaːtˈiːa
نشاف	nəʃˈaːf
نشان	nɪʃˈaːn
نشانات	nɪʃˈaːnaːt
نشانجی	nɪʃˈaːnɟi
نشاندہی	nɪʃˈaːndəhˌiː
نشانوں	nɪʃˈaːnõː
نشانچی	nɪʃˈaːnci
نشانہ	nɪʃˈaːna
نشانی	nɪʃˈaːni
نشانیاں	nɪʃˈaːnjãː
نشانیوں	nɪʃˈaːniˌõː
نشانیہ	nɪʃˈaːniˌa
نشانے	nɪʃˈaːneː
نشاچر	nəʃˈaːcər
نشاچری	nəʃˈaːcrˌiː
نشاں	nˈʌʃãː
نشاہ	nəʃˈaːh
نشاۃ	nəʃˈaːt
نشبستان	nˌəʃəbɪstˈaːn
نشتر	nˈʌʃtər
نشتردار	nˌəʃtərdˈaːr
نشترک	nˈʌʃtərˌək
نشتہ	nˈʌʃta
نشخوار	nˌəʃxʋˈaːr
نشدہ	nˈʌʃdˌa
نشر	nˈaʃr
نشرح	nˌəʃərˈah
نشرگاہ	nˌəʃərɡˈaːh
نشرہ	nˈʌʃəra
نشری	nˈʌʃrˌiː
نشریات	nˌəʃriˈaːt
نشریاتی	nˌəʃrjˈaːti
نشریت	nˈaʃriˌat
نشریہ	nˌəʃrˈiːa
نشست	nˈaʃɪst
نشستن	naʃˈɪstn
نشستوں	naʃˈɪstõː
نشستہ	naʃˈɪsta
نشستیں	naʃˈɪstẽː
نشط	nˈʌʃət
نشف	nˈʌʃəf
نشفہ	nˈʌʃəfa
نشق	nˈʌʃəq
نشمردہ	nˌəʃəmˈʌrdˌa
نشنگ	nˈʌʃənɡ
نشو	nˈʌʃoː
نشور	nəʃˈoːr
نشورگاہ	nˌəʃoːrɡˈaːh
نشوز	nəʃˈoːz
نشوق	nəʃˈoːq
نشونما	naʃˈoːnʊmˌaː
نشوونما	nəʃʋˈoːnmˌaː
نشوہ	nəʃˈoːa
نشٹ	nˈʌʃəʈ
نشٹا	nˈʌʃʈˌaː
نشٹھا	nˈʌʃʈʰˌaː
نشٹھر	nˈʌʃəʈʰˌər
نشچت	nˈʌʃəcˌət
نشچر	nˈʌʃəcˌər
نشچل	nˈʌʃəcˌəl
نشک	nˈʌʃək
نشکارن	nˌəʃkˈaːrən
نشکاس	nˌəʃkˈaːs
نشکام	nˌəʃkˈaːm
نشکریتا	nˌəʃəkrˈiːtaː
نشکنٹک	nˈʌʃəkˌənəʈˌək
نشکپٹ	nˈʌʃəkˌəpəʈ
نشگفتہ	nˌəʃaɡˈʊfta
نشہ	nˈʌʃˌa
نشۂ	nˌəʃˈaeː
نشۂباز	nˌəʃˈaeːbˌaːz
نشیب	naʃˈeːb
نشیبستانی	nˌaʃeːbɪstˈaːni
نشیبوں	naʃˈeːbõː
نشیبی	naʃˈeːbi
نشیتھ	nəʃˈiːtʰ
نشید	nəʃˈiːd
نشیدھ	nəʃˈiːdʰ
نشیدھی	nəʃˈiːdʰi
نشیدہ	nəʃˈiːda
نشیر	nəʃˈiːr
نشیش	nəʃˈiːʃ
نشیط	nəʃˈiːt
نشیطہ	nəʃˈiːtˌa
نشیل	nəʃˈiːl
نشیلا	nəʃˈiːlaː
نشیلی	nəʃˈiːli
نشیلے	nəʃˈiːleː
نشیم	nəʃˈiːm
نشیمن	nəʃˈiːmən
نشین	nəʃˈiːn
نشینوں	nəʃˈiːnõː
نشینی	nəʃˈiːni
نشیں	nˈaʃĩː
نشیہ	nəʃˈiːa
نشیہار	nˌəʃihˈaːr
نشے	nˈʌʃeː
نص	nˈʌʂ
نصا	nˈʌʂaː
نصائح	nˌəʂaɪˈah
نصاب	nɪʂˈaːb
نصابات	nˌɪʂaːbˈaːt
نصابوں	nɪʂˈaːbõː
نصابی	nɪʂˈaːbi
نصابیات	nˌɪʂaːbiˈaːt
نصاح	nəʂˈaːh
نصاخ	nəʂˈaːx
نصار	nəʂˈaːr
نصارا	nəʂˈaːraː
نصاری	nəʂˈaːri
نصانصف	nəʂˈaːnəʂˌəf
نصب	nˈaʂb
نصبہ	nˈʌʂəba
نصبی	nˈʌʂbˌiː
نصبیہ	nˌəʂbˈiːa
نصتا	nˈʌʂtˌaː
نصح	nˌəʂˈah
